unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
51,99 University Pl,2.0,203,10213,91.0,Hector Barbossa,test1@okadaco.com,Jon Snow,Dr. Linkletter,Carlos Sainz,929383,77449,167289
52,99 University Pl,2.0,205/206,15811,104.0,Hector Barbossa,test1@okadaco.com,Arya Stark,Georgie Cooper,Fernando Alonso,1644344,137029,295982
53,99 University Pl,4.0,400,19362,86.0,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Oscar Piastri,1665132,138761,299724
54,99 University Pl,6.0,600,9814,83.0,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Mary Cooper,Sergio Perez,814562,67880,146621
55,99 University Pl,8.0,800,15757,86.0,Davy Jones,test1@okadaco.com,Jorah Mormont,Pastor Jeff,Charles Leclerc,1355102,112925,243918
56,99 University Pl,10.0,1000,9125,92.0,James Norrington,test1@okadaco.com,Arya Stark,Dr. Sturgis,Fernando Alonso,839500,69958,151110
57,552 Seventh Ave,5.0,500,10829,91.0,Cutler Beckett,test1@okadaco.com,Arya Stark,Dr. Sturgis,Max Verstappen,985439,82120,177379
58,9 Times Sq,2.0,200,10092,91.0,James Norrington,test1@okadaco.com,Jon Snow,Dr. Sturgis,Lewis Hamilton,918372,76531,165307
59,9 Times Sq,3.0,300,13391,88.0,Tia Dalma,test1@okadaco.com,The Hound,Georgie Cooper,Oscar Piastri,1178408,98201,212113
60,9 Times Sq,3.0,3C,18890,94.0,Cutler Beckett,test1@okadaco.com,Arya Stark,Pastor Jeff,Carlos Sainz,1775660,147972,319619
61,9 Times Sq,3.0,3A,14188,101.0,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Sheldon Cooper,Sergio Perez,1432988,119416,257938
62,9 Times Sq,3.0,3B,9740,100.0,Will Turner,test1@okadaco.com,Sansa Stark,Brenda Sparks,Lando Norris,974000,81167,175320
63,9 Times Sq,4.0,405,12282,99.0,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Pastor Jeff,Charles Leclerc,1215918,101327,218865
64,9 Times Sq,7.0,700,17855,98.0,Jack Sparrow,test1@okadaco.com,The Hound,Brenda Sparks,Lando Norris,1749790,145816,314962
65,9 Times Sq,12.0,1203,18059,93.0,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Mary Cooper,Sergio Perez,1679487,139957,302308
66,9 Times Sq,18.0,1802,15759,110.0,Bootstrap Bill,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Lewis Hamilton,1733490,144458,312028
67,9 Times Sq,19.0,1902,12062,103.0,Joshamee Gibbs,test1@okadaco.com,Bran Stark,Brenda Sparks,Fernando Alonso,1242386,103532,223629
68,9 Times Sq,20.0,2000,15209,109.0,Jack Sparrow,test1@okadaco.com,Jaime Lannister,Georgie Cooper,Carlos Sainz,1657781,138148,298401
69,9 Times Sq,21.0,2102,16770,99.0,Davy Jones,test1@okadaco.com,Jon Snow,Brenda Sparks,George Russell,1660230,138353,298841
70,9 Times Sq,21.0,2101,13081,81.0,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Georgie Cooper,Sergio Perez,1059561,88297,190721
71,145 E 32nd St,,BSMT,18494,89.0,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Carlos Sainz,1645966,137164,296274
72,145 E 32nd St,,RETL,15635,109.0,Joshamee Gibbs,test1@okadaco.com,Daenerys Targaryen,Meemaw,Fernando Alonso,1704215,142018,306759
73,145 E 32nd St,,RETL,15534,88.0,Tia Dalma,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Sergio Perez,1366992,113916,246059
74,145 E 32nd St,,MEZZ,11972,81.0,Davy Jones,test1@okadaco.com,Tyrion Lannister,Missy Cooper,Oscar Piastri,969732,80811,174552
75,145 E 32nd St,11.0,1100,13375,85.0,Bootstrap Bill,test1@okadaco.com,Tyrion Lannister,Dr. Linkletter,George Russell,1136875,94740,204638
76,145 E 32nd St,12.0,1200,10058,93.0,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Dr. Sturgis,Carlos Sainz,935394,77950,168371
77,173 Elizabeth St,,1008,10490,95.0,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lewis Hamilton,996550,83046,179379
78,759 Grand St,,566,18938,88.0,Cutler Beckett,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Lewis Hamilton,1666544,138879,299978
79,340 Lexington Ave,,1077,13539,90.0,James Norrington,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Daniel Ricciardo,1218510,101543,219332
80,3 E 17th St,,540,17812,97.0,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Pastor Jeff,George Russell,1727764,143980,310998
81,53 E 34th St,,516,12989,110.0,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Max Verstappen,1428790,119066,257182
82,206 W 23rd St,,588,10418,93.0,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Sheldon Cooper,Charles Leclerc,968874,80740,174397
83,226 E 54th St,5.0,502,11113,106.0,Jack Sparrow,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Charles Leclerc,1177978,98165,212036
84,315 Fifth Ave,7.0,703B,16302,102.0,Bootstrap Bill,test1@okadaco.com,Jaime Lannister,Pastor Jeff,Lando Norris,1662804,138567,299305
85,315 Fifth Ave,8.0,800,13415,103.0,Hector Barbossa,test1@okadaco.com,Jorah Mormont,Missy Cooper,Oscar Piastri,1381745,115145,248714
86,315 Fifth Ave,9.0,906,13318,85.0,Bootstrap Bill,test1@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,1132030,94336,203765
87,315 Fifth Ave,9.0,904,15860,105.0,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Oscar Piastri,1665300,138775,299754
88,347 5th Ave,7.0,700,14246,110.0,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Brenda Sparks,Daniel Ricciardo,1567060,130588,282071
89,347 5th Ave,11.0,1108,19848,103.0,Will Turner,test1@okadaco.com,Cersei Lannister,George Cooper Sr.,Fernando Alonso,2044344,170362,367982
90,347 5th Ave,13.0,1303,19274,89.0,Bootstrap Bill,test1@okadaco.com,Arya Stark,Pastor Jeff,Lewis Hamilton,1715386,142949,308769
91,347 5th Ave,14.0,1407,17727,90.0,Will Turner,test1@okadaco.com,Cersei Lannister,Meemaw,Lewis Hamilton,1595430,132953,287177
92,224 W 30th St,2.0,204,17423,83.0,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Max Verstappen,1446109,120509,260300
93,224 W 30th St,3.0,308,15592,92.0,Bootstrap Bill,test1@okadaco.com,Sansa Stark,Pastor Jeff,Daniel Ricciardo,1434464,119539,258204
94,224 W 30th St,5.0,501,10773,96.0,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Dr. Linkletter,Lewis Hamilton,1034208,86184,186157
95,224 W 30th St,5.0,502,19199,96.0,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Mary Cooper,Carlos Sainz,1843104,153592,331759
96,224 W 30th St,6.0,602,11365,107.0,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lando Norris,1216055,101338,218890
97,224 W 35th St,2.0,204,11665,104.0,Will Turner,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Lando Norris,1213160,101097,218369
98,224 W 35th St,7.0,710B,14598,103.0,Bootstrap Bill,test1@okadaco.com,Jon Snow,Missy Cooper,Charles Leclerc,1503594,125300,270647
99,224 W 35th St,13.0,1300,13574,102.0,Jack Sparrow,test1@okadaco.com,The Hound,Dr. Linkletter,Oscar Piastri,1384548,115379,249219
100,650 Broadway,5.0,500,17090,106.0,Davy Jones,test1@okadaco.com,Jaime Lannister,Mary Cooper,Carlos Sainz,1811540,150962,326077
101,1674 Broadway,3.0,300,14502,88.0,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,George Cooper Sr.,Sergio Perez,1276176,106348,229712
102,1674 Broadway,6.0,600,15214,105.0,Will Turner,test1@okadaco.com,The Hound,George Cooper Sr.,Lando Norris,1597470,133123,287545
103,1674 Broadway,6.0,A,19530,89.0,Davy Jones,test1@okadaco.com,Jon Snow,Dr. Sturgis,Carlos Sainz,1738170,144848,312871
104,1674 Broadway,6.0,B,17979,110.0,Will Turner,test1@okadaco.com,Arya Stark,Missy Cooper,Daniel Ricciardo,1977690,164808,355984
105,1674 Broadway,6.0,6A-2,17678,84.0,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Lewis Hamilton,1484952,123746,267291
106,1674 Broadway,6.0,6A-1,16103,84.0,James Norrington,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Oscar Piastri,1352652,112721,243477
107,1674 Broadway,6.0,B-2,17136,91.0,Tia Dalma,test1@okadaco.com,Jorah Mormont,Meemaw,Daniel Ricciardo,1559376,129948,280688
108,1674 Broadway,6.0,B-1,11292,90.0,Tia Dalma,test2@okadaco.com,Arya Stark,Brenda Sparks,Sergio Perez,1016280,84690,182930
109,1674 Broadway,7.0,700,10154,86.0,Davy Jones,test2@okadaco.com,Bran Stark,Dr. Sturgis,Lewis Hamilton,873244,72770,157184
110,1674 Broadway,8.0,800,9448,98.0,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Charles Leclerc,925904,77159,166663
111,1674 Broadway,9.0,900,12631,83.0,James Norrington,test2@okadaco.com,Jorah Mormont,Dr. Linkletter,Max Verstappen,1048373,87364,188707
112,183 Bowery,,1073,17206,96.0,Bootstrap Bill,test2@okadaco.com,Arya Stark,Pastor Jeff,Charles Leclerc,1651776,137648,297320
113,25 E 21st St,5.0,500,14870,103.0,Cutler Beckett,test2@okadaco.com,Bran Stark,Brenda Sparks,Sergio Perez,1531610,127634,275690
114,25 E 21st St,6.0,600,12286,98.0,Cutler Beckett,test2@okadaco.com,Sansa Stark,Sheldon Cooper,Fernando Alonso,1204028,100336,216725
115,25 E 21st St,9.0,901,12994,102.0,Bootstrap Bill,test2@okadaco.com,Bran Stark,Mary Cooper,Carlos Sainz,1325388,110449,238570
116,25 E 21st St,9.0,900,17590,100.0,Elizabeth Swann,test2@okadaco.com,Jon Snow,Brenda Sparks,Lando Norris,1759000,146583,316620
117,25 E 21st St,10.0,1000,10614,104.0,Elizabeth Swann,test2@okadaco.com,Bran Stark,Pastor Jeff,Oscar Piastri,1103856,91988,198694
118,113 University Pl,6.0,600,19314,109.0,Bootstrap Bill,test2@okadaco.com,Jorah Mormont,Meemaw,George Russell,2105226,175436,378941
119,113 University Pl,7.0,700,13883,94.0,Elizabeth Swann,test2@okadaco.com,Jorah Mormont,Sheldon Cooper,Fernando Alonso,1305002,108750,234900
120,155 E 55th St,2.0,203,15921,85.0,Davy Jones,test2@okadaco.com,The Hound,Missy Cooper,Oscar Piastri,1353285,112774,243591
121,155 E 55th St,3.0,303A,9325,101.0,Davy Jones,test2@okadaco.com,Jon Snow,George Cooper Sr.,Carlos Sainz,941825,78485,169529
122,155 E 55th St,3.0,300A,13794,83.0,Elizabeth Swann,test2@okadaco.com,Jon Snow,Georgie Cooper,Oscar Piastri,1144902,95409,206082
123,155 E 55th St,5.0,5I,18229,91.0,Davy Jones,test2@okadaco.com,Jorah Mormont,Missy Cooper,Lando Norris,1658839,138237,298591
124,155 E 55th St,5.0,5J,10407,107.0,Joshamee Gibbs,test2@okadaco.com,Jon Snow,Missy Cooper,Fernando Alonso,1113549,92796,200439
125,155 E 55th St,6.0,6H,15238,90.0,James Norrington,test2@okadaco.com,Jaime Lannister,Georgie Cooper,Max Verstappen,1371420,114285,246856
126,155 E 55th St,6.0,6K,12906,83.0,Tia Dalma,test2@okadaco.com,Cersei Lannister,Mary Cooper,George Russell,1071198,89267,192816
127,155 E 55th St,6.0,6A,16931,92.0,Tia Dalma,test2@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Charles Leclerc,1557652,129804,280377
128,19 W 21st St,8.0,803,13613,95.0,Will Turner,test2@okadaco.com,Arya Stark,Dr. Linkletter,Fernando Alonso,1293235,107770,232782
129,19 W 21st St,8.0,905,12342,87.0,Cutler Beckett,test2@okadaco.com,Arya Stark,Meemaw,Daniel Ricciardo,1073754,89480,193276
130,121-127 W 27th St,5.0,501,19651,91.0,Cutler Beckett,test2@okadaco.com,Arya Stark,Georgie Cooper,Max Verstappen,1788241,149020,321883
131,121-127 W 27th St,7.0,702,14618,82.0,Joshamee Gibbs,test2@okadaco.com,Sansa Stark,Dr. Sturgis,Max Verstappen,1198676,99890,215762
132,124 W 36th St,2.0,200,15008,81.0,Cutler Beckett,test2@okadaco.com,Sansa Stark,Pastor Jeff,Charles Leclerc,1215648,101304,218817
133,124 W 36th St,3.0,300,11226,105.0,Joshamee Gibbs,test2@okadaco.com,Tyrion Lannister,Sheldon Cooper,Sergio Perez,1178730,98228,212171
134,124 W 36th St,7.0,700,10489,95.0,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lando Norris,996455,83038,179362
135,301 E Houston St,1.0,100,9351,101.0,Cutler Beckett,test2@okadaco.com,Bran Stark,Sheldon Cooper,Max Verstappen,944451,78704,170001
136,365-369 Seventh Ave,2.0,201,14539,95.0,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Dr. Sturgis,Lewis Hamilton,1381205,115100,248617
137,365-369 Seventh Ave,3.0,301,11567,94.0,Will Turner,test2@okadaco.com,The Hound,George Cooper Sr.,George Russell,1087298,90608,195714
138,135 W 36th St,6.0,600,14029,108.0,Cutler Beckett,test2@okadaco.com,Bran Stark,George Cooper Sr.,Lando Norris,1515132,126261,272724
139,135 W 36th St,9.0,900,14066,100.0,Hector Barbossa,test2@okadaco.com,Jaime Lannister,Brenda Sparks,Lando Norris,1406600,117217,253188
140,135 W 36th St,13.0,1300,12483,80.0,Davy Jones,test2@okadaco.com,Bran Stark,Georgie Cooper,Carlos Sainz,998640,83220,179755
141,135 W 36th St,17.0,17N,19918,99.0,Bootstrap Bill,test2@okadaco.com,Jon Snow,Sheldon Cooper,Carlos Sainz,1971882,164324,354939
142,269 W 39th St,,810,13507,103.0,Tia Dalma,test2@okadaco.com,Jon Snow,Dr. Linkletter,Oscar Piastri,1391221,115935,250420
143,261 E 78th St,,632,14955,85.0,Elizabeth Swann,test2@okadaco.com,Jon Snow,George Cooper Sr.,George Russell,1271175,105931,228812
144,13 E 16th St,,684,18503,86.0,Hector Barbossa,test2@okadaco.com,Jorah Mormont,Meemaw,Sergio Perez,1591258,132605,286426
145,21-23 W 39th St,,1031,13041,106.0,Tia Dalma,test2@okadaco.com,Tyrion Lannister,Dr. Sturgis,Fernando Alonso,1382346,115196,248822
146,111 W 24th St,,RETL,9010,84.0,Davy Jones,test2@okadaco.com,Cersei Lannister,Georgie Cooper,Fernando Alonso,756840,63070,136231
147,111 W 24th St,4.0,400,16242,89.0,Will Turner,test2@okadaco.com,Jon Snow,Dr. Sturgis,Lewis Hamilton,1445538,120462,260197
148,111 W 24th St,5.0,501,10001,95.0,Elizabeth Swann,test2@okadaco.com,Cersei Lannister,Pastor Jeff,Sergio Perez,950095,79175,171017
149,111 W 24th St,7.0,700,18427,89.0,James Norrington,test2@okadaco.com,Daenerys Targaryen,Georgie Cooper,Daniel Ricciardo,1640003,136667,295201
150,315 W 35th St,4.0,400,9351,89.0,Bootstrap Bill,test2@okadaco.com,Bran Stark,Sheldon Cooper,Sergio Perez,832239,69353,149803
151,315 W 35th St,5.0,503,11809,90.0,Tia Dalma,test2@okadaco.com,Cersei Lannister,Meemaw,Charles Leclerc,1062810,88568,191306
152,315 W 35th St,7.0,700,11842,94.0,Jack Sparrow,test2@okadaco.com,Sansa Stark,Sheldon Cooper,Lewis Hamilton,1113148,92762,200367
153,315 W 35th St,8.0,8000,10263,107.0,Cutler Beckett,test2@okadaco.com,Cersei Lannister,Brenda Sparks,Lando Norris,1098141,91512,197665
154,315 W 35th St,9.0,9000,12809,101.0,James Norrington,test2@okadaco.com,Cersei Lannister,Pastor Jeff,Lando Norris,1293709,107809,232868
155,315 W 35th St,10.0,1000,11287,97.0,Jack Sparrow,test2@okadaco.com,The Hound,Meemaw,Lando Norris,1094839,91237,197071
156,25 W 39th St,2.0,200,13740,95.0,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Meemaw,George Russell,1305300,108775,234954
157,25 W 39th St,3.0,300,16282,80.0,Hector Barbossa,test2@okadaco.com,Jaime Lannister,Meemaw,Daniel Ricciardo,1302560,108547,234461
158,1162 Broadway,4.0,400,14676,100.0,Jack Sparrow,test2@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,1467600,122300,264168
159,1162 Broadway,6.0,600,12898,110.0,Elizabeth Swann,test2@okadaco.com,Jon Snow,Georgie Cooper,Oscar Piastri,1418780,118232,255380
160,1162 Broadway,7.0,700,14018,105.0,Davy Jones,test2@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Oscar Piastri,1471890,122658,264940
161,1271-1273 Broadway,4.0,P4,18782,105.0,Jack Sparrow,test2@okadaco.com,Cersei Lannister,Missy Cooper,Sergio Perez,1972110,164343,354980
162,139 Fifth Ave,2.0,200,16211,86.0,Cutler Beckett,test2@okadaco.com,Daenerys Targaryen,Pastor Jeff,Max Verstappen,1394146,116179,250946
163,139 Fifth Ave,5.0,500,18384,82.0,Davy Jones,test2@okadaco.com,Bran Stark,Meemaw,Daniel Ricciardo,1507488,125624,271348
164,139 Fifth Ave,6.0,600,15661,99.0,Tia Dalma,test2@okadaco.com,Jon Snow,Dr. Sturgis,Charles Leclerc,1550439,129203,279079
165,104-110 E 40th St,9.0,903,9070,95.0,Tia Dalma,test2@okadaco.com,Bran Stark,Sheldon Cooper,Oscar Piastri,861650,71804,155097
166,22 W 32nd St,9.0,900,10523,93.0,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Meemaw,George Russell,978639,81553,176155
167,22 W 32nd St,10.0,1000,14074,102.0,Jack Sparrow,test2@okadaco.com,Sansa Stark,Brenda Sparks,Lando Norris,1435548,119629,258399
168,22 W 32nd St,11.0,1100,14633,98.0,James Norrington,test2@okadaco.com,Jorah Mormont,Sheldon Cooper,George Russell,1434034,119503,258126
169,22 W 32nd St,14.0,1400,19852,96.0,Jack Sparrow,test2@okadaco.com,Jaime Lannister,Meemaw,Charles Leclerc,1905792,158816,343043
170,137 W 19th St,,640,16542,81.0,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Missy Cooper,Lando Norris,1339902,111659,241182
171,147-149 W 46th St,,594,14932,89.0,Jack Sparrow,test2@okadaco.com,The Hound,Dr. Linkletter,Fernando Alonso,1328948,110746,239211
172,28 W 30th St,3.0,302,13149,80.0,Elizabeth Swann,test2@okadaco.com,The Hound,Missy Cooper,Carlos Sainz,1051920,87660,189346
173,29 W 36th St,4.0,401,14526,106.0,Davy Jones,test2@okadaco.com,Jorah Mormont,Mary Cooper,Carlos Sainz,1539756,128313,277156
174,29 W 36th St,5.0,5E,14905,82.0,Jack Sparrow,test2@okadaco.com,Jaime Lannister,Mary Cooper,Fernando Alonso,1222210,101851,219998
175,29 W 36th St,5.0,5T,16467,86.0,Elizabeth Swann,test2@okadaco.com,Jorah Mormont,Dr. Sturgis,Lando Norris,1416162,118014,254909
176,29 W 36th St,5.0,5W,19645,100.0,Elizabeth Swann,test2@okadaco.com,Cersei Lannister,Missy Cooper,Oscar Piastri,1964500,163708,353610
177,29 W 36th St,8.0,804,15917,93.0,Cutler Beckett,test2@okadaco.com,The Hound,Georgie Cooper,Lewis Hamilton,1480281,123357,266451
